objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
42109,042109.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42110,042110.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42111,042111.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42112,042112.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42113,042113.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42114,042114.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42115,042115.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42116,042116.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42117,042117.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42118,042118.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42119,042119.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42120,042120.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42121,042121.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42122,042122.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42123,042123.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42124,042124.jpg,,Elizabeth Bay. Ruins of old buildings,Edda Schoedder,1980-01-01,,ruins;diamond mining;ghost towns,Elisabeth Bay,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
